#name: M.tuberculosis, PaxDB integrated dataset
#score: 12.3
#weight: 
#description: integrated dataset: weighted average of 'M.tuberculosis, PeptideAtlas,Feb,2012' (weighting 100%), 'Yun.Sang.Cho,Proteomics,2012' (weighting 40%)<br/><b>Interaction consistency score</b>: 12.3&nbsp<b>Coverage</b>: 81%
#organ: WHOLE_ORGANISM
#integrated: true
#
#internal_id	string_external_id	abundance
#
1778442	83332.Rv0054	1923.03788058438
1778443	83332.Rv0055	1100.05680354187
1778444	83332.Rv0056	634.339788018093
1778446	83332.Rv0058	1.74284736759843
1778447	83332.Rv0059	50.5051423584135
1778448	83332.Rv0060	35.9641972169222
1778450	83332.Rv0062	165.145946605223
1778451	83332.Rv0063	235.191648336154
1778452	83332.Rv0064	0.399059047424935
1778453	83332.Rv0065	46.4908387867606
1778454	83332.Rv0066c	735.029742149644
1778455	83332.Rv0067c	18.0325591456261
1778456	83332.Rv0068	127.80481010539
1778457	83332.Rv0069c	34.293359364399
1778458	83332.Rv0070c	47.2311752090659
1778460	83332.Rv0072	132.349141659687
1778461	83332.Rv0073	51.3794468917808
1778462	83332.Rv0074	85.9098097585646
1778463	83332.Rv0075	46.5705813763119
1778465	83332.Rv0077c	104.922696654224
1778466	83332.Rv0078	33.8905533115184
1778467	83332.Rv0078A	138.811626354772
1778468	83332.Rv0079	346.757201741085
1778469	83332.Rv0080	33.113103812397
1778470	83332.Rv0081	89.8756244909437
1778471	83332.Rv0082	17.4999141253158
1778472	83332.Rv0083	0.81463104883051
1778474	83332.Rv0085	1.07002281948996
1778476	83332.Rv0087	22.5941101780179
1778477	83332.Rv0088	466.186039206517
1778479	83332.Rv0090	6.39003390970119
1778480	83332.Rv0091	61.1138123215879
1778481	83332.Rv0092	8.93415976354091
1778482	83332.Rv0093c	9.62702125917608
1778486	83332.Rv0097	93.9839844376703
1778487	83332.Rv0098	10.3064048553918
1778488	83332.Rv0099	26.5122780622714
1778489	83332.Rv0100	9.23758819792793
