511145.b1714	P08312
511145.b1716	P0A7L3
511145.b1717	P0A7Q1
511145.b1718	P0A707
511145.b1719	P0A8M3
511145.b1723	P06999
511145.b1724	P64479
511145.b1725	P77739
511145.b1726	P76208
511145.b1727	P77247
511145.b1729	P77529
511145.b1732	P21179
511145.b1734	P17411
511145.b1735	P17410
511145.b1736	P69791
511145.b1739	P0ADB1
511145.b1740	P18843
511145.b1743	P77754
511145.b1745	P76216
511145.b1748	P77581
511145.b1749	P09030
511145.b1755	P76224
511145.b1756	P76909
511145.b1757	P78067
511145.b1760	P76227
511145.b1761	P00370
511145.b1764	P16456
511145.b1765	P0ACY1
511145.b1767	P0A962
511145.b1768	P21369
511145.b1770	P77721
511145.b1773	P77704
511145.b1776	P77539
511145.b1778	P0A746
511145.b1779	P0A9B2
511145.b1780	P39173
511145.b1782	P0A908
511145.b1783	P0ACY3
511145.b1784	P76235
511145.b1786	P76237
511145.b1787	P64483
511145.b1792	P76243
511145.b1794	P76245
511145.b1799	P76250
511145.b1804	P09155
511145.b1805	P69451
511145.b1807	P76256
511145.b1809	P0AEB7
511145.b1812	P05041
511145.b1814	P16095
511145.b1816	P0AEC0
511145.b1817	P69797
511145.b1818	P69801
511145.b1819	P69805
511145.b1822	P36999
511145.b1823	P0A9Y6
511145.b1827	P76268
511145.b1828	P76269
511145.b1829	P23894
511145.b1830	P23865
511145.b1831	P45577
511145.b1832	P76270
511145.b1833	P0AD03
511145.b1836	P64503
511145.b1839	P64506
511145.b1841	P0AA57
511145.b1842	P0ABS8
511145.b1843	P76280
511145.b1846	P33218
511145.b1847	P33219
511145.b1848	P0ACY9
511145.b1849	P33221
511145.b1850	P0A955
511145.b1851	P0ADF6
511145.b1852	P0AC53
511145.b1853	P46118
511145.b1854	P21599
511145.b1857	P39172
511145.b1858	P0A9X1
511145.b1860	P0A812
511145.b1861	P0A809
511145.b1864	P0A8A0
511145.b1866	P21889
511145.b1867	P0ADI7
511145.b1870	P76290
511145.b1871	P76291
511145.b1872	P46923
511145.b1874	P67826
511145.b1875	P52007
511145.b1876	P11875
511145.b1879	P76298
511145.b1881	P0A9H9
511145.b1882	P0AE67
511145.b1883	P07330
511145.b1884	P07364
511145.b1885	P07018
511145.b1886	P07017
511145.b1887	P0A964
511145.b1888	P07363
511145.b1889	P0AF06
511145.b1890	P09348
511145.b1896	P31677
511145.b1902	P0A9A2
511145.b1905	P0A998
511145.b1907	P0AAD4
511145.b1908	P0AD05
511145.b1912	P0ABF8
511145.b1913	P0A8G0
511145.b1914	P0AED5
511145.b1917	P37774
511145.b1918	P0AFT2
511145.b1919	P76316
511145.b1920	P0AEM9
511145.b1921	P52627
511145.b1922	P0AEM6
511145.b1923	P04949
511145.b1925	P26608
511145.b1927	P26612
511145.b1928	P31063
511145.b1929	P31064
511145.b1930	P0AA31
511145.b1938	P25798
511145.b1939	P0ABZ1
511145.b1941	P52612
511145.b1942	P52613
511145.b1944	P0ABX8
511145.b1945	P06974
511145.b1946	P15070
511145.b1947	P22586
511145.b1955	P76329
511145.b1956	P76330
511145.b1957	P64517
511145.b1958	P46125
511145.b1961	P0AED9
511145.b1962	P46144
511145.b1967	P31658
511145.b1968	P76339
511145.b1969	P76340
511145.b1971	P76342
511145.b1973	P76344
511145.b1974	P76345
511145.b1976	P76346
511145.b1981	P76350
511145.b1982	P0AE12
511145.b1983	P0A8A2
511145.b1985	P76352
511145.b1990	P39176
511145.b1992	P36561
511145.b1993	P0AE76
511145.b2000	P39180
511145.b2007	P0A8M6
511145.b2008	P33011
511145.b2009	P33012
511145.b2011	P04995
511145.b2014	P0AA47
511145.b2016	P0AD12
511145.b2017	P69346
511145.b2019	P60757
511145.b2020	P06988
511145.b2021	P06986
511145.b2022	P06987
511145.b2023	P60595
511145.b2024	P10371
511145.b2025	P60664
511145.b2026	P06989
511145.b2027	P76372
511145.b2032	P37751
511145.b2033	P37750
511145.b2034	P37749
511145.b2036	P37747
511145.b2038	P37745
511145.b2039	P37744
511145.b2040	P37760
511145.b2041	P37759
511145.b2042	P0AAB6
511145.b2043	P71244
511145.b2044	P71243
511145.b2046	P77377
511145.b2052	P32055
511145.b2057	P71237
511145.b2062	P0A930
511145.b2063	P76389
511145.b2064	P28249
511145.b2065	P28248
511145.b2066	P0A8F4
511145.b2067	P38097
511145.b2070	P76393
511145.b2075	P76398
511145.b2079	P69228
511145.b2080	P76402
511145.b2081	P76403
511145.b2091	P0A9S3
511145.b2093	P37188
511145.b2094	P69828
511145.b2095	P0C8J8
511145.b2096	P0C8J6
511145.b2097	P0A991
511145.b2099	P76418
511145.b2107	P64534
511145.b2113	P0AF08
511145.b2114	P00959
511145.b2118	P33346
511145.b2119	P33348
511145.b2120	P33349
511145.b2121	P33352
511145.b2124	P33355
511145.b2127	P33358
511145.b2129	P33360
511145.b2131	P33362
511145.b2132	P33363
511145.b2133	P06149
511145.b2140	P33371
511145.b2143	P0ABF6
511145.b2147	P25889
511145.b2149	P0AAG8
511145.b2150	P0AEE5
511145.b2151	P25748
511145.b2152	P25747
511145.b2153	P0A6T5
511145.b2154	P33018
511145.b2155	P17315
511145.b2156	P25737
511145.b2157	P0ACR4
511145.b2159	P0A6C1
511145.b2160	P33020
511145.b2161	P33021
511145.b2167	P20966
511145.b2168	P0AEW9
511145.b2169	P69811
511145.b2171	P0A6N8
511145.b2172	P33029
511145.b2173	P33030
511145.b2180	P33916
511145.b2182	P28246
511145.b2183	P0AA43
511145.b2185	P68919
511145.b2186	P33920
511145.b2187	P0AD24
511145.b2188	P0AD27
511145.b2193	P31802
511145.b2202	P0ABL5
511145.b2206	P33937
511145.b2209	P23827
511145.b2211	P33941
511145.b2212	P05050
511145.b2215	P06996
511145.b2216	P39838
511145.b2217	P69407
511145.b2218	P14376
511145.b2222	P76459
511145.b2226	P76463
511145.b2230	P17994
511145.b2231	P0AES4
511145.b2232	P17993
511145.b2233	P45508
511145.b2234	P00452
511145.b2235	P69924
511145.b2239	P09394
511145.b2240	P08194
511145.b2241	P0A9C0
511145.b2242	P13033
511145.b2243	P0A996
511145.b2248	P77732
511145.b2249	P77808
511145.b2250	P76471
511145.b2253	P77690
511145.b2256	P76472
511145.b2260	P37353
511145.b2261	P29208
511145.b2262	P0ABU0
511145.b2265	P38051
511145.b2266	P0AEH5
511145.b2267	P0AEH3
511145.b2276	P0AFF0
511145.b2278	P33607
511145.b2279	P0AFE4
511145.b2281	P0AFD6
511145.b2282	P0AFD4
511145.b2283	P33602
511145.b2284	P31979
511145.b2285	P0AFD1
511145.b2286	P33599
511145.b2287	P0AFC7
511145.b2288	P0AFC3
511145.b2290	P0A959
511145.b2291	P76491
511145.b2294	P0A8W8
