From	To
4896.SPAC1687.07-1	O14068
4896.SPAC1687.09-1	O14066
4896.SPAC1687.10-1	O94452
4896.SPAC1687.11-1	O42832
4896.SPAC1687.12c-1	O94453
4896.SPAC1687.13c-1	O94454
4896.SPAC1687.15-1	Q10452
4896.SPAC1687.17c-1	O94458
4896.SPAC1687.19c-1	O94460
4896.SPAC1687.21-1	O94461
4896.SPAC1687.22c-1	O94462
4896.SPAC16A10.02-1	P87294
4896.SPAC16A10.04-1	Q874R1
4896.SPAC16A10.07c-1	P79005
4896.SPAC16C9.02c-1	Q09816
4896.SPAC16C9.03-1	Q09817
4896.SPAC16C9.04c-1	Q09818
4896.SPAC16C9.05-1	Q09819
4896.SPAC16C9.06c-1	Q09820
4896.SPAC16C9.07-1	Q09815
4896.SPAC16E8.04c-1	O13739
4896.SPAC16E8.06c-1	O13741
4896.SPAC16E8.07c-1	O13742
4896.SPAC16E8.09-1	P40995
4896.SPAC16E8.10c-1	O13744
4896.SPAC16E8.11c-1	O13745
4896.SPAC16E8.13-1	O13747
4896.SPAC16E8.14c-1	O13748
4896.SPAC16E8.15-1	P78954
4896.SPAC16E8.16-1	O13749
4896.SPAC16E8.17c-1	O13750
4896.SPAC1705.02-1	Q9UTF0
4896.SPAC1705.03c-1	O13960
4896.SPAC1751.03-1	Q09722
4896.SPAC1782.01-1	Q9P7H8
4896.SPAC1782.03-1	Q9P7H6
4896.SPAC1782.05-1	Q9P7H4
4896.SPAC1782.06c-1	Q9P7H3
4896.SPAC1782.07-1	P50523
4896.SPAC1782.09c-1	Q9P7H1
4896.SPAC1782.10c-1	Q9P7H0
4896.SPAC1782.11-1	Q9P7G9
4896.SPAC1782.12c-1	Q9P7G8
4896.SPAC1783.02c-1	Q9US27
4896.SPAC1783.05-1	Q9US25
4896.SPAC1783.07c-1	Q01663
4896.SPAC1786.01c-1	O14115
4896.SPAC1786.02-1	Q9UTH5
4896.SPAC1786.03-1	O13961
4896.SPAC17A2.01-1	P33532
4896.SPAC17A2.02c-1	O13752
4896.SPAC17A2.03c-1	O13753
4896.SPAC17A2.04c-1	O13754
4896.SPAC17A2.05-1	O13755
4896.SPAC17A2.09c-1	O13759
4896.SPAC17A2.13c-1	P42657
4896.SPAC17A2.14-1	O13779
4896.SPAC17A5.01-1	O13764
4896.SPAC17A5.02c-1	O13765
4896.SPAC17A5.06-1	O13768
4896.SPAC17A5.07c-1	O13769
4896.SPAC17A5.08-1	O13770
4896.SPAC17A5.09c-1	O13771
4896.SPAC17A5.10-1	O13772
4896.SPAC17A5.13-1	O13774
4896.SPAC17A5.14-1	P40383
4896.SPAC17A5.15c-1	O13775
4896.SPAC17A5.16-1	O13776
4896.SPAC17C9.03-1	Q10475
4896.SPAC17C9.05c-1	Q10477
4896.SPAC17C9.06-1	Q10478
4896.SPAC17C9.07-1	Q10479
4896.SPAC17C9.08-1	Q10480
4896.SPAC17C9.09c-1	Q10481
4896.SPAC17C9.10-1	Q10482
4896.SPAC17C9.11c-1	Q10483
4896.SPAC17C9.12-1	Q10484
4896.SPAC17C9.14-1	Q10485
4896.SPAC17D4.01-1	P78798
4896.SPAC17D4.02-1	O74113
4896.SPAC17D4.03c-1	Q9HGQ3
4896.SPAC17D4.04-1	Q9HGQ2
4896.SPAC17G6.04c-1	O13782
4896.SPAC17G6.05c-1	O13783
4896.SPAC17G6.07c-1	O13785
4896.SPAC17G6.08-1	O13786
4896.SPAC17G6.09-1	O13787
4896.SPAC17G6.10-1	O13788
4896.SPAC17G6.11c-1	O13789
4896.SPAC17G6.12-1	O13790
4896.SPAC17G6.13-1	O13791
4896.SPAC17G6.14c-1	O13792
4896.SPAC17G6.15c-1	O13793
4896.SPAC17G6.16c-1	O13794
4896.SPAC17G8.01c-1	Q10313
4896.SPAC17G8.02-1	Q10314
4896.SPAC17G8.03c-1	Q10315
4896.SPAC17G8.04c-1	Q10316
4896.SPAC17G8.05-1	Q10317
4896.SPAC17G8.06c-1	Q10318
4896.SPAC17G8.07-1	Q10319
4896.SPAC17G8.08c-1	Q10320
4896.SPAC17G8.09-1	Q10321
4896.SPAC17G8.10c-1	Q10322
4896.SPAC17G8.11c-1	Q10323
4896.SPAC17G8.12-1	Q10324
4896.SPAC17G8.14c-1	P36582
4896.SPAC17H9.04c-1	O13801
4896.SPAC17H9.05-1	O13802
4896.SPAC17H9.07-1	O13804
4896.SPAC17H9.09c-1	P08647
4896.SPAC17H9.10c-1	O13807
