#name: Zivanovic,Genome_Biol,2009
#score: 7.5
#weight: 100%
#description: abundance based on Spectral counting, from <a href="http://www.ncbi.nlm.nih.gov/pubmed?term=19558674" target="_blank">Zivanovic,Genome_Biol, 2009</a><br/><b>Interaction consistency score</b>: 7.5&nbsp<b>Coverage</b>: 62%
#organ: WHOLE_ORGANISM
#integrated: false
#
#internal_id	string_external_id	abundance_ppm	raw_spectral_count
#
5109234	593117.TGAM_0488	3150.620138220743	403
5109235	593117.TGAM_0489	233.12554429838352	14
5109231	593117.TGAM_0485	721.9375762504994	68
5109232	593117.TGAM_0486	333.38186690051924	40
5109233	593117.TGAM_0487	1300.8129682900721	193
5109171	593117.TGAM_0425	988.8672090591768	106
5109170	593117.TGAM_0424	467.32715352529397	76
5109169	593117.TGAM_0423	22.64634461364958	2
5109168	593117.TGAM_0422	6391.957765885615	3715
5109167	593117.TGAM_0421	2675.090151231037	347
5109166	593117.TGAM_0420	233.95108593745536	29
5108801	593117.TGAM_0054	12.848333840194185	1
5108996	593117.TGAM_0249	112.31054466609343	67
5108995	593117.TGAM_0248	80.46174498014453	11
5108993	593117.TGAM_0246	1.4531039418973215	1
5108991	593117.TGAM_0244	17.19653582140901	9
